experiment_id,eval_level,head,mean_auc,std_auc,mean_f1,std_f1,mean_sens,std_sens,mean_spec,std_spec,mean_brier,std_brier,folds,total_test,total_pos,total_neg,pos_rate_test
audio_lr,clip,aud,0.5750967782217782,0.08903575690108548,0.29170523767373946,0.09960804178517416,0.2285714285714285,0.07903943712387503,0.8612689393939394,0.07246673188437604,0.22932574981938983,0.03549837757708461,10,455,131,324,0.2879120879120879
early_fusion_audio_pca_lr,clip,fus,0.5693020521145521,0.07878475024606693,0.2697314103738252,0.083040109274507,0.20549450549450549,0.05975301039898271,0.8612689393939394,0.0934527371500353,0.23249720285595288,0.03019829620757711,10,455,131,324,0.2879120879120879
audio_lr,speaker,aud,0.5468353174603175,0.13253432827034997,0.34139860139860134,0.12932860850421776,0.23555555555555557,0.08858745185134519,0.9323260073260073,0.06452048486983046,0.2506182324279381,0.04142960624434707,10,215,84,131,0.39069767441860465
early_fusion_audio_pca_lr,speaker,fus,0.532967032967033,0.10432286144753557,0.2831235431235431,0.1600828359998633,0.18833333333333332,0.11031971246099218,0.9316849816849817,0.06465429173883742,0.25982875441723985,0.034126763187054064,10,215,84,131,0.39069767441860465
audio_core_lr,clip,aud,0.49268283799533796,0.10919053956961719,0.06507936507936506,0.08708486809108062,0.037362637362637355,0.05185447141153518,0.9598484848484847,0.032865290911527255,0.2170465093326653,0.016913261315662755,10,455,131,324,0.2879120879120879
audio_core_lr,speaker,aud,0.46817307692307686,0.12104396356432172,0.05076923076923075,0.10999970115314131,0.03111111111111111,0.06885303726590963,0.9851648351648352,0.03130207558395912,0.26048154334480855,0.021060091173927348,10,215,84,131,0.39069767441860465
